Ticker,Sector,Industry,MarketCap
PENN,Consumer Cyclical,Resorts & Casinos,2014865152
PEP,Consumer Defensive,Beverages - Non-Alcoholic,200337080320
PFE,Healthcare,Drug Manufacturers - General,142370127872
PFG,Financial Services,Asset Management,18777153536
PG,Consumer Defensive,Household & Personal Products,353226063872
PGR,Financial Services,Insurance - Property & Casualty,133060026368
PH,Industrials,Specialty Industrial Machinery,106242605056
PHM,Consumer Cyclical,Residential Construction,23738843136
PKG,Consumer Cyclical,Packaging & Containers,17753712640
PLD,Real Estate,REIT - Industrial,116842184704
PM,Consumer Defensive,Tobacco,241652596736
PNC,Financial Services,Banks - Regional,73475293184
PNR,Industrials,Specialty Industrial Machinery,17178357760
PNW,Utilities,Utilities - Regulated Electric,10670399488
PODD,Healthcare,Medical Devices,23311896576
POOL,Industrials,Industrial Distribution,8955575296
PPG,Basic Materials,Specialty Chemicals,22276589568
PPL,Utilities,Utilities - Regulated Electric,26719379456
PRU,Financial Services,Insurance - Life,37569908736
PSA,Real Estate,REIT - Industrial,47289036800
PSX,Energy,Oil & Gas Refining & Marketing,54039494656
PTC,Technology,Software - Application,20645425152
PYPL,Financial Services,Credit Services,57867272192
QCOM,Technology,Semiconductors,176200712192
QRVO,Technology,Semiconductors,7568927232
RCL,Consumer Cyclical,Travel Services,72020762624
REG,Real Estate,REIT - Retail,13039912960
REGN,Healthcare,Biotechnology,80115908608
RF,Financial Services,Banks - Regional,22227400704
RHI,Industrials,Staffing & Employment Services,2774413312
RIVN,Consumer Cyclical,Auto Manufacturers,18217068544
RJF,Financial Services,Asset Management,30503757824
RL,Consumer Cyclical,Apparel Manufacturing,20610545664
RMD,Healthcare,Medical Instruments & Supplies,36601044992
ROK,Industrials,Specialty Industrial Machinery,42582282240
ROL,Consumer Cyclical,Personal Services,29018191872
ROP,Technology,Software - Application,47764111360
ROST,Consumer Cyclical,Apparel Retail,56910270464
RSG,Industrials,Waste Management,68375261184
RTX,Industrials,Aerospace & Defense,227502178304
SBAC,Real Estate,REIT - Specialty,20781916160
SBUX,Consumer Cyclical,Restaurants,97051484160
SCHW,Financial Services,Capital Markets,164295507968
SEDG,Technology,Solar,2060111872
SEE,Consumer Cyclical,Packaging & Containers,6286630912
SGEN,,,
SHW,Basic Materials,Specialty Chemicals,84040286208
SIRI,Communication Services,Entertainment,6909914112
SJM,Consumer Defensive,Packaged Foods,11259551744
SLB,Energy,Oil & Gas Equipment & Services,54065090560
SNPS,Technology,Software - Infrastructure,72137351168
SO,Utilities,Utilities - Regulated Electric,98295627776
SPG,Real Estate,REIT - Retail,69059059712
SPGI,Financial Services,Financial Data & Stock Exchanges,150696083456
SRE,Utilities,Utilities - Diversified,60373041152
STE,Healthcare,Medical Devices,25931593728
STLD,Basic Materials,Steel,23281879040
STT,Financial Services,Asset Management,32443398144
STX,Technology,Computer Hardware,51742433280
STZ,Consumer Defensive,Beverages - Brewers,23265757184
SWK,Industrials,Tools & Accessories,10245640192
SWKS,Technology,Semiconductors,9308840960
SYF,Financial Services,Credit Services,27762933760
SYK,Healthcare,Medical Devices,140835160064
SYY,Consumer Defensive,Food Distribution,36695121920
T,Communication Services,Telecom Services,183829430272
TAP,Consumer Defensive,Beverages - Brewers,9118520320
TDG,Industrials,Aerospace & Defense,75916230656
TDY,Technology,Scientific & Technical Instruments,23234635776
TEAM,Technology,Software - Application,38505480192
TER,Technology,Semiconductor Equipment & Materials,25278375936
TFC,Financial Services,Banks - Regional,58643509248
TFX,Healthcare,Medical Instruments & Supplies,4871549952
TGT,Consumer Defensive,Discount Stores,39674032128
TJX,Consumer Cyclical,Apparel Retail,168937668608
TMO,Healthcare,Diagnostics & Research,220720971776
TMUS,Communication Services,Telecom Services,235724636160
TPR,Consumer Cyclical,Luxury Goods,21785257984
TRGP,Energy,Oil & Gas Midstream,36698816512
TRMB,Technology,Scientific & Technical Instruments,18330759168
TROW,Financial Services,Asset Management,22039635968
TRV,Financial Services,Insurance - Property & Casualty,65304576000
TSCO,Consumer Cyclical,Specialty Retail,27963117568
TSLA,Consumer Cyclical,Auto Manufacturers,1300694564864
TSN,Consumer Defensive,Farm Products,18948411392
TT,Industrials,Building Products & Equipment,91253547008
TTWO,Communication Services,Electronic Gaming & Multimedia,43509870592
TXN,Technology,Semiconductors,144916463616
TXT,Industrials,Aerospace & Defense,14493436928
TYL,Technology,Software - Application,20452886528
UAL,Industrials,Airlines,29848641536
UDR,Real Estate,REIT - Residential,13399245824
UHS,Healthcare,Medical Care Facilities,14759085056
ULTA,Consumer Cyclical,Specialty Retail,23173056512
UNH,Healthcare,Healthcare Plans,289841184768
UNP,Industrials,Railroads,134184861696
UPS,Industrials,Integrated Freight & Logistics,80308183040
URI,Industrials,Rental & Leasing Services,51472977920
USB,Financial Services,Banks - Regional,74354728960
V,Financial Services,Credit Services,636590161920
VFC,Consumer Cyclical,Apparel Manufacturing,6333648384
VICI,Real Estate,REIT - Diversified,30803144704
VLO,Energy,Oil & Gas Refining & Marketing,53882544128
VMC,Basic Materials,Building Materials,38031237120
VRSK,Industrials,Consulting Services,31178795008
VRSN,Technology,Software - Infrastructure,23484788736
VRTX,Healthcare,Biotechnology,109417275392
VTR,Real Estate,REIT - Healthcare Facilities,37221629952
VZ,Communication Services,Telecom Services,173843218432
WAB,Industrials,Railroads,34229047296
WAT,Healthcare,Diagnostics & Research,23456092160
WBA,,,
WBD,Communication Services,Entertainment,57466707968
WDAY,Technology,Software - Application,60112379904
WDC,Technology,Computer Hardware,47713710080
WEC,Utilities,Utilities - Regulated Electric,36153200640
WELL,Real Estate,REIT - Healthcare Facilities,137217564672
WFC,Financial Services,Banks - Diversified,266238001152
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4121310976
WM,Industrials,Waste Management,87269056512
WMB,Energy,Oil & Gas Midstream,72796856320
WMT,Consumer Defensive,Discount Stores,840497627136
WRB,Financial Services,Insurance - Property & Casualty,29679654912
WRK,,,
WST,Healthcare,Medical Instruments & Supplies,19501701120
WTW,Financial Services,Insurance Brokers,30732492800
WY,Real Estate,REIT - Specialty,15714509824
WYNN,Consumer Cyclical,Resorts & Casinos,12435592192
XEL,Utilities,Utilities - Regulated Electric,47127973888
XOM,Energy,Oil & Gas Integrated,499140984832
XYL,Industrials,Specialty Industrial Machinery,34180620288
YUM,Consumer Cyclical,Restaurants,42475327488
ZBH,Healthcare,Medical Devices,18268375040
ZBRA,Technology,Communication Equipment,12206584832
ZS,Technology,Software - Infrastructure,43534307328
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,54094974976
